,employment_status,industry,current_role,years_of_experience,genai_org_approval,genai_use,genai_tools_used,genai_frequency_use,genai_importance,skill_integration,skill_learning,simple_tasks_skills,complex_tasks_skills,skillfullness,skills_support,skill_sharing,better_worker,relatedness,tasks_description,emotional_energy,dependancy,reliance,decision_making_confidence,quality_improvement,peers_approval,manager_support,general_disapproval,age_group,gender,highest_level_of_education,country_of_residence
0,Yes,"IT / Tech, Consulting",CEO,More than 15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,"Style, code simplification, unfamiliar or new API usage",I’m comfortable ,3.0,3.0,3.0,4.0,5.0,5.0,5.0,62,Male,Bachelor’s degree,Brazil
1,Yes,Law,Attorney ,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,4.0,1.0,3.0,5.0,2.0,2.0,4.0,5.0,3.0,1.0,Translations and text review ,"Ok, it's not a big deal ",1.0,1.0,2.0,4.0,5.0,5.0,5.0,26-35,Female,Bachelor’s degree,Brazil
2,Yes,IT / Tech,SDE,1–3 years,no,Yes,"ChatGPT (OpenAI), Claude (Anthropic)",A few times a week,3.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,4.0,2.0,"Debugging, Making Reports, Sending professional emails",Not good,3.0,4.0,4.0,4.0,4.0,3.0,3.0,18-25,Male,Master’s degree,Canada
3,Yes,IT / Tech,ERP Finance Consultant ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,2.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,"Writing professional emails, solving technical issues ",I usually tend to hide it. ,4.0,4.0,4.0,5.0,3.0,2.0,2.0,26-35,Female,Bachelor’s degree,Canada
4,Yes,Creative / Media,Marketing manager ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,"1- search 
2- marketing plan 
",Necessary to shorten time and effort,5.0,5.0,4.0,5.0,5.0,1.0,4.0,26-35,Male,Bachelor’s degree,Egypt
5,Yes,Pre sales in,Pre sale employee ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,1.0,2.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,I use to find equation that I can use to estimate the size of places and now the materials  that used to blid  different houses ,Updated,3.0,3.0,3.0,4.0,4.0,3.0,4.0,26-35,Female,Bachelor’s degree,Egypt
6,Yes,IT / Tech,Tester,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",A few times a week,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,"Codes, Email Language, Tickets resolving",Good and Effecient,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18-25,Male,Bachelor’s degree,Germany
7,Yes,IT / Tech,Intern in Corporate IT,1–3 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",Daily,1.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,"Email writing, excel macros, template designing, ideas collecting, coding ",Supportive and happy,4.0,3.0,3.0,5.0,4.0,4.0,4.0,26-35,Female,Bachelor’s degree,Germany
8,Yes,Education / Academia,Master's Thesis Student,1–3 years,"ChatGPT (OpenAI), Claude (Anthropic)",Yes,ChatGPT (OpenAI),A few times a week,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,"Sending email, Writing cover letter",Convenient,1.0,1.0,1.0,1.0,3.0,3.0,3.0,26-35,Male,Bachelor’s degree,Germany
9,Yes,Education / Academia,Team assistant ,1–3 years,,Yes,"ChatGPT (OpenAI), Deepseek, Google AI Studio",Daily,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"- Writing emails.
- Instructions to use tools.
- Replacement to Microsoft office ",All is good as long as it complies with Data protection.,5.0,5.0,5.0,5.0,,,,26-35,Female,Master’s degree,Germany
