Timestamp,Are currently employed?,What industry do you work in?,What is your current role or job title?,How many years of professional experience do you have?,Are there any Gen AI tools approved by your organization? ,"Do you use any generative AI tools for professional tasks? (e.g., ChatGPT, Copilot, Google Gemini, Claude)",Which Gen AI tool do you use?,How frequently do you use GenAI tools in your professional tasks?,Gen AI tools are very important for my professional tasks,Integrate Gen AI with other technologies related to it.,Learn to use unfamiliar Gen AI tools.,Use Gen AI for simple tasks.,Use Gen AI for complex tasks.,Become skillful using Gen AI.,Find support for problems that are beyond my abilities to solve using Gen AI.,Show people around me how to use it.,I am a better worker with the use of Gen AI.,I feel personally connected to the Gen AI tools I use in my work.,Please describe two or three work-related tasks you used Gen AI for.,How does it make you feel to report that you used Gen AI for work-related tasks?,I often find myself turning to GenAI as my first step in tackling professional problems.,"Considering my relationship with Gen AI, it has become something I often rely on.",I feel more confident making decisions at work when I use GenAI,I know how to use GenAI tools to improve the quality of my work related tasks.,My peers at work approve my use of Gen AI.,My manager at work supports my use of Gen AI.,People around me don't show disapproval regarding the use of Gen AI at work,What is your age group?,What is your gender?,What is your highest level of education completed?,What is your country of residence?
6/22/2025 15:42:10,Yes,"IT / Tech, Consulting",CEO,More than 15 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), GitHub Copilot",Daily,1,5,5,3,5,5,5,3,5,5,"Style, code simplification, unfamiliar or new API usage",I’m comfortable ,3,3,3,4,5,5,5,62,Male,Bachelor’s degree,Brazil
6/22/2025 16:05:30,Yes,Law,Attorney ,1–3 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),A few times a week,4,1,3,5,2,2,4,5,3,1,Translations and text review ,"Ok, it's not a big deal ",1,1,2,4,5,5,5,26-35,Female,Bachelor’s degree,Brazil
6/22/2025 12:00:17,Yes,IT / Tech,SDE,1–3 years,no,Yes,"ChatGPT (OpenAI), Claude (Anthropic)",A few times a week,3,4,4,2,5,4,5,3,4,2,"Debugging, Making Reports, Sending professional emails",Not good,3,4,4,4,4,3,3,18-25,Male,Master’s degree,Canada
6/22/2025 16:35:59,Yes,IT / Tech,ERP Finance Consultant ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,2,2,2,5,4,4,4,5,5,5,"Writing professional emails, solving technical issues ",I usually tend to hide it. ,4,4,4,5,3,2,2,26-35,Female,Bachelor’s degree,Canada
6/22/2025 15:00:59,Yes,Creative / Media,Marketing manager ,4–7 years,ChatGPT (OpenAI),Yes,ChatGPT (OpenAI),Daily,1,5,3,5,5,5,5,4,3,4,"1- search 
2- marketing plan 
",Necessary to shorten time and effort,5,5,4,5,5,1,4,26-35,Male,Bachelor’s degree,Egypt
6/22/2025 17:02:50,Yes,Pre sales in,Pre sale employee ,Less than 1 year,"ChatGPT (OpenAI), Google Gemini (Formerly Bard)",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard)",Daily,1,2,1,5,4,3,4,5,4,3,I use to find equation that I can use to estimate the size of places and now the materials  that used to blid  different houses ,Updated,3,3,3,4,4,3,4,26-35,Female,Bachelor’s degree,Egypt
6/21/2025 16:12:11,Yes,IT / Tech,Tester,1–3 years,"ChatGPT (OpenAI), Google Gemini (Formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",Yes,"ChatGPT (OpenAI), Google Gemini (formerly Bard), Claude (Anthropic), Microsoft Copilot, GitHub Copilot",A few times a week,3,3,5,5,5,5,5,5,3,4,"Codes, Email Language, Tickets resolving",Good and Effecient,4,4,4,4,4,4,4,18-25,Male,Bachelor’s degree,Germany
6/21/2025 16:14:15,Yes,IT / Tech,Intern in Corporate IT,1–3 years,Microsoft Copilot,Yes,"ChatGPT (OpenAI), Microsoft Copilot",Daily,1,4,4,5,5,5,5,3,4,4,"Email writing, excel macros, template designing, ideas collecting, coding ",Supportive and happy,4,3,3,5,4,4,4,26-35,Female,Bachelor’s degree,Germany
6/21/2025 16:17:42,Yes,Education / Academia,Master's Thesis Student,1–3 years,"ChatGPT (OpenAI), Claude (Anthropic)",Yes,ChatGPT (OpenAI),A few times a week,3,3,3,2,3,3,3,3,1,1,"Sending email, Writing cover letter",Convenient,1,1,1,1,3,3,3,26-35,Male,Bachelor’s degree,Germany
6/22/2025 12:55:05,Yes,Education / Academia,Team assistant ,1–3 years,,Yes,"ChatGPT (OpenAI), Deepseek, Google AI Studio",Daily,5,5,5,5,5,5,5,5,5,5,"- Writing emails.
- Instructions to use tools.
- Replacement to Microsoft office ",All is good as long as it complies with Data protection.,5,5,5,5,,,,26-35,Female,Master’s degree,Germany
